DATE,SP500
12/10/20,3534.22
13/10/20,3511.93
14/10/20,3488.67
15/10/20,3483.34
16/10/20,3483.81
19/10/20,3426.92
20/10/20,3443.12
21/10/20,3435.56
22/10/20,3453.49
23/10/20,3465.39
26/10/20,3400.97
27/10/20,3390.68
28/10/20,3271.03
29/10/20,3310.11
30/10/20,3269.96
2/11/20,3310.24
3/11/20,3369.16
4/11/20,3443.44
5/11/20,3510.45
6/11/20,3509.44
9/11/20,3550.5
10/11/20,3545.53
11/11/20,3572.66
12/11/20,3537.01
13/11/20,3585.15
16/11/20,3626.91
17/11/20,3609.53
18/11/20,3567.79
19/11/20,3581.87
20/11/20,3557.54
23/11/20,3577.59
24/11/20,3635.41
25/11/20,3629.65
26/11/20,.
27/11/20,3638.35
30/11/20,3621.63
1/12/20,3662.45
2/12/20,3669.01
3/12/20,3666.72
4/12/20,3699.12
7/12/20,3691.96
8/12/20,3702.25
9/12/20,3672.82
10/12/20,3668.1
11/12/20,3663.46
14/12/20,3647.49
15/12/20,3694.62
16/12/20,3701.17
17/12/20,3722.48
18/12/20,3709.41
21/12/20,3694.92
22/12/20,3687.26
23/12/20,3690.01
24/12/20,3703.06
25/12/20,.
28/12/20,3735.36
29/12/20,3727.04
30/12/20,3732.04
31/12/20,3756.07
1/1/21,.
4/1/21,3700.65
5/1/21,3726.86
6/1/21,3748.14
7/1/21,3803.79
8/1/21,3824.68
11/1/21,3799.61
12/1/21,3801.19
13/1/21,3809.84
14/1/21,3795.54
15/1/21,3768.25
18/1/21,.
19/1/21,3798.91
20/1/21,3851.85
